instance,objective,status,average_obj,total_instances,optimal_count,optimal_percentage
0,8.31385886304,optimal,8.578777333799843,50,42,84.0
1,4.0510132239311645,optimal,8.578777333799843,50,42,84.0
2,7.554282783515225,userinterrupt,8.578777333799843,50,42,84.0
3,8.745021552751998,userinterrupt,8.578777333799843,50,42,84.0
4,9.293881687879999,userinterrupt,8.578777333799843,50,42,84.0
5,9.724639755767,userinterrupt,8.578777333799843,50,42,84.0
6,8.731990886236025,optimal,8.578777333799843,50,42,84.0
7,11.772071786544,optimal,8.578777333799843,50,42,84.0
8,8.947659445366,optimal,8.578777333799843,50,42,84.0
9,4.385470526437643,optimal,8.578777333799843,50,42,84.0
10,5.96008952608187,timelimit,8.578777333799843,50,42,84.0
11,5.807169106579361,optimal,8.578777333799843,50,42,84.0
12,10.392965899528,optimal,8.578777333799843,50,42,84.0
13,11.30621651818,optimal,8.578777333799843,50,42,84.0
14,5.72874252515832,optimal,8.578777333799843,50,42,84.0
15,7.932683427459157,optimal,8.578777333799843,50,42,84.0
16,12.550808255608,optimal,8.578777333799843,50,42,84.0
17,4.5754563389325,optimal,8.578777333799843,50,42,84.0
18,7.412167755411265,optimal,8.578777333799843,50,42,84.0
19,7.734074230000001,optimal,8.578777333799843,50,42,84.0
20,6.919548750651,optimal,8.578777333799843,50,42,84.0
21,7.5415625133,optimal,8.578777333799843,50,42,84.0
22,9.922582310298,optimal,8.578777333799843,50,42,84.0
23,6.376272546245,optimal,8.578777333799843,50,42,84.0
24,15.441922757268,timelimit,8.578777333799843,50,42,84.0
25,6.586954154000001,optimal,8.578777333799843,50,42,84.0
26,8.93514207932,optimal,8.578777333799843,50,42,84.0
27,4.79270739267,optimal,8.578777333799843,50,42,84.0
28,4.415799808079999,optimal,8.578777333799843,50,42,84.0
29,9.141929036030001,optimal,8.578777333799843,50,42,84.0
30,5.553323577915956,optimal,8.578777333799843,50,42,84.0
31,12.8792006,optimal,8.578777333799843,50,42,84.0
32,7.310448192436,optimal,8.578777333799843,50,42,84.0
33,8.261599950286401,optimal,8.578777333799843,50,42,84.0
34,9.27396048,optimal,8.578777333799843,50,42,84.0
35,12.445584176574,optimal,8.578777333799843,50,42,84.0
36,10.296056060218,optimal,8.578777333799843,50,42,84.0
37,11.916719931664,optimal,8.578777333799843,50,42,84.0
38,11.217940885137,optimal,8.578777333799843,50,42,84.0
39,9.856948995163002,optimal,8.578777333799843,50,42,84.0
40,6.248105451105865,optimal,8.578777333799843,50,42,84.0
41,8.8368910622721,timelimit,8.578777333799843,50,42,84.0
42,12.77049453,optimal,8.578777333799843,50,42,84.0
43,10.129934427712001,optimal,8.578777333799843,50,42,84.0
44,7.41895035676,optimal,8.578777333799843,50,42,84.0
45,10.26781822761,timelimit,8.578777333799843,50,42,84.0
46,8.255289818129636,optimal,8.578777333799843,50,42,84.0
47,7.97627906316569,optimal,8.578777333799843,50,42,84.0
48,8.958925003093002,optimal,8.578777333799843,50,42,84.0
49,8.06971045848,optimal,8.578777333799843,50,42,84.0
